1,Numbers,Counting, 1,Uno,Numeri,Conteggio,itl1,eng1
2,Numbers,Counting, 2,Due,Numeri,Conteggio,itl2,eng2
3,Numbers,Counting, 3,Tre,Numeri,Conteggio,itl3,eng3
4,Numbers,Counting, 4,Quattro,Numeri,Conteggio,itl4,eng4
5,Numbers,Counting, 5,Cinque,Numeri,Conteggio,itl5,eng5
6,Numbers,Counting, 6,Sei,Numeri,Conteggio,itl6,eng6
7,Numbers,Counting, 7,Sette,Numeri,Conteggio,itl7,eng7
8,Numbers,Counting, 8,Otto,Numeri,Conteggio,itl8,eng8
9,Numbers,Counting, 9,Nove,Numeri,Conteggio,itl9,eng9
10,Numbers,Counting,10,Dieci,Numeri,Conteggio,itl10,eng10
11,Numbers,Fractions,A quarter,Un quartino,Numeri,Frazioni,itl11,eng11
12,Numbers,Fractions,A third,Un terzo,Numeri,Frazioni,itl12,eng12
13,Numbers,Fractions,A half,Una metà,Numeri,Frazioni,itl13,eng13
14,Numbers,Fractions,All,Tutto,Numeri,Frazioni,itl14,eng14
15,Numbers,Measurements,Millimeter,Millimetro,Numeri,Misure,itl15,eng15
16,Numbers,Measurements,Centimeter,Centimetro,Numeri,Misure,itl16,eng16
17,Numbers,Measurements,Meter,Metro,Numeri,Misure,itl17,eng17
18,Numbers,Measurements,Kilometer,Chilometro,Numeri,Misure,itl18,eng18
19,Numbers,Measurements,Gram,Grammo,Numeri,Misure,itl19,eng19
20,Numbers,Measurements,Kilogram,Chilogrammo,Numeri,Misure,itl20,eng20
21,Socializing,Greetings,Hello,Ciao,Socializzare,Saluti,itl21,eng21
22,Socializing,Greetings,Hi,Ciao,Socializzare,Saluti,itl22,eng22
23,Socializing,Greetings,Good morning,Buongiorno,Socializzare,Saluti,itl23,eng23
24,Socializing,Greetings,Good afternoon,Buon pomeriggio,Socializzare,Saluti,itl24,eng24
25,Socializing,Greetings,Good evening,Buona sera,Socializzare,Saluti,itl25,eng25
26,Socializing,Greetings,Good night,Buona notte,Socializzare,Saluti,itl26,eng26
